"","Date","Open","High","Low","Close","Volume","Company","shifted"
"65",2021-06-15,129.940002,130.600006,129.389999,129.639999,62746300,"Apple",130.149994
"66",2021-06-16,130.369995,130.889999,128.460007,130.149994,91815000,"Apple",131.789993
"67",2021-06-17,129.800003,132.550003,129.649994,131.789993,96721700,"Apple",130.460007
"68",2021-06-18,130.710007,131.509995,130.240005,130.460007,108953300,"Apple",132.300003
"69",2021-06-21,130.300003,132.410004,129.210007,132.300003,79663300,"Apple",133.979996
"70",2021-06-22,132.130005,134.080002,131.619995,133.979996,74783600,"Apple",133.699997
"71",2021-06-23,133.770004,134.320007,133.229996,133.699997,60214200,"Apple",133.410004
"72",2021-06-24,134.449997,134.639999,132.929993,133.410004,68711000,"Apple",133.110001
"73",2021-06-25,133.460007,133.889999,132.809998,133.110001,70783700,"Apple",134.779999
"74",2021-06-28,133.410004,135.25,133.350006,134.779999,62111300,"Apple",136.330002
"75",2021-06-29,134.800003,136.490005,134.350006,136.330002,64556100,"Apple",136.960007
"76",2021-06-30,136.169998,137.410004,135.869995,136.960007,63261400,"Apple",137.270004
"77",2021-07-01,136.600006,137.330002,135.759995,137.270004,52485800,"Apple",139.960007
"78",2021-07-02,137.899994,140,137.75,139.960007,78852600,"Apple",142.020004
"79",2021-07-06,140.070007,143.149994,140.070007,142.020004,108181800,"Apple",144.570007
"80",2021-07-07,143.539993,144.889999,142.660004,144.570007,104911600,"Apple",143.240005
"81",2021-07-08,141.580002,144.059998,140.669998,143.240005,105575500,"Apple",145.110001
"82",2021-07-09,142.75,145.649994,142.649994,145.110001,99890800,"Apple",144.5
"83",2021-07-12,146.210007,146.320007,144,144.5,76299700,"Apple",145.639999
"84",2021-07-13,144.029999,147.460007,143.630005,145.639999,100827100,"Apple",149.149994
"85",2021-07-14,148.100006,149.570007,147.679993,149.149994,127050800,"Apple",148.479996
"86",2021-07-15,149.240005,150,147.089996,148.479996,106820300,"Apple",146.389999
"87",2021-07-16,148.460007,149.759995,145.880005,146.389999,93251400,"Apple",142.449997
"88",2021-07-19,143.75,144.070007,141.669998,142.449997,121434600,"Apple",146.149994
"89",2021-07-20,143.460007,147.100006,142.960007,146.149994,96350000,"Apple",145.399994
"90",2021-07-21,145.529999,146.130005,144.630005,145.399994,74993500,"Apple",146.800003
"91",2021-07-22,145.940002,148.199997,145.809998,146.800003,77338200,"Apple",148.559998
